Category,Review
chinese,"I'll start off with saying they are following all COVID-19 procedures extremely well. There are plenty of outdoor seatings. If you choose to sit indoor,..."
chinese,"Thrilled they're open again! (Since the pandemic started, been ordering takeout from their sister location.)

Yes, they're priced for the Theater District,..."
chinese,"My husband and I are from Houston, Texas. We were looking for a dinner spot near our hotel. If you are like us, you are browsing these reviews in search of..."
chinese,"Can't believe I never wrote a review! I used to frequent here when I worked in midtown years ago, and this place was always packed during lunch and dinner..."
chinese,"I rarely will do a review based on takeout/delivery, but we've been lucky enough to be in their delivery radius since COVID hit, and have fallen in love..."
chinese,I decided to have takeout this time due to the pandemic but have also went for indoor dining before. This place is awesome and loved it both the times....
chinese,"I came here for a belated birthday dinner with my sister and mom. It was sooo good! First of all, they've created a lot of ambience with their mandated..."
chinese,"After a short walk on the High Line, we came across this restaurant right on 23rd Street.  They have quite a few tables for outdoor dining.

As soon as you..."
chinese,"Really amazing unique gem in Chelsea, with a lively ambiance, filled with Cuban music and the glow of neon lights and low hanging copper lamps. The place is..."
chinese,"One of my favorite spots in NYC. Love Mama, Jeff, Adam, Big John, the whole gang. Take care & be well!"
chinese,"This place is awesome. Came completely sober. Left hammered.  The food is surprisingly incredible. We got the wings, dumplings, scallion pancakes to start...."
chinese,It's the dive bar you never knew you needed. It's loud. It's crowded. But everyone that's here comes back here over and over again. It's not a huge spot but...
chinese,I've been coming here to satisfy my cravings for authentic HK style wonton noodle soup! I haven't been able to see my family due to COVID so I've been...
chinese,"I decided to visit Noodle Village as part of the Send Chinatown Love food crawl (9/1-9/30).

This restaurant offered lots of room for outdoor dining. There..."
chinese,If you' want classic AND authentic Chinese food- look no further! Noodle Village has been a staple of the Chinatown area in Manhattan for ages. I can't...
chinese,"Although we had the 911, the financial crisis on 07, and the COVID-19, this place still shows some class and taste. Yeah, I was sitting on the outdoor patio..."
chinese,Dine outdoor during Covid-19: so the seats are first come first serve and it's nice that it's in the alley and not a lot of people pass by. You order as a...
chinese,"TL;DR version:  Delicious! Especially fun to eat dim sum outdoors on historic Doyers Street, but I miss indoor dim sum dining and having hot tea with my..."
chinese,I'm so glad this restaurant is open during COVID-19. This is one of my favorite spots for a casual dinner and I'm happy to be able to order takeout during...
chinese,"I am updating to 5 stars due solely to two people: GINA AND WILSON. 

Very rarely do two people make me want to come back forever, but someone, Gina and..."
chinese,"Oh Han Dynasty. Or Handy Nasty, if you will. A favorite of mine when I lived in Philly, it didn't take long for me to sample this spot after moving to NYC...."
chinese,"Ever since I got my vegetarian Laksa in Singapore, I've been on a search for the same dish in the New York.

I couldn't believe it when I saw Laksa on the..."
chinese,"Unsure how I haven't written a review for this place yet.  I frequent Buddha Bodai 2-3x/week, so now the servers know me and my order.  I've tried most of..."
chinese,"Hands down the best Asian vegetarian spot in NYC! 

Unfortunately, I can't give a full 5 stars due to some dishes being not so great but other dishes were..."
chinese,they are open for take out during covid. The person taking orders is wearing a mask but you can't really see inside beyond the hanging meats to see if...
chinese,"Even during Covid, their food is the BEST!!!!  It's take out only but it taste the same.  Love this place.  Totally recommend trying this place.  If you are..."
chinese,The service is always quick and the staff is still in good spirit during the coronavirus pandemic. The best part is having Chinese bbq available. If you...
chinese,Hot damn! Any confidence I had about my spice tolerance completely dissipated when the salt and pepper eggplant I got for lunch today absolutely set my...
chinese,"This. Meal. Is. Amazing. My husband and I ordered it for the first time and we'll now be devoted customers for life. The delivery was timely, perfectly and..."
chinese,"I got takeout from this place because I saw its high ratings and I must say it really lived up to the name! Order for 2 people: Wontons in Chili Oil, Dan..."
chinese,We ordered take out for dinner and the food was very tasty. Portions are large which is good as the prices are not cheap. We tried the lomo saltado (one...
chinese,I live around the corner from here and it's always packed for a reason! The menu is exciting and food comes out hot and fresh. Portion sizes are very...
chinese,My favorite location. Grab lunch yesterday with my cousin. It's always delicious and a great time. The food is so filling and the drinks are great. We...
chinese,"Food: 4:5
Stopped by for dinner with a friend. We ordered the crab soup dumpling, the tofu with pork, and the dandan noodles. The crab soup dumpling (3/5)..."
chinese,"Wow wow Bao! We came here knowing we wanted some Asian food, we had zero expectations when we got seated, the service wasn't excellent, but Dear God, the..."
chinese,This is simply the best chinese food that I have every had - by far and away. It would be a tragedy if this placed closed because of Covid. I rode my bike...
chinese,"Tuome really hits the balance between fine dining and straight up delicious food. It's an intimate and cozy space, and the host is really welcoming so you..."
chinese,this is a pre-covid experience review so food only here. i went to Tuome with higher expectations since everything looks amazing on paper. i was quite...
chinese,"They have a small menu but I believe they try to perfect every single dish. However, my experience just totally shut me off.
I ordered chicken liver and..."
chinese,"I've heard so many great things about Xi'an Famous Foods, so we had to give this a try while we were in New York! We found so many locations all around us..."
chinese,The best darn hand-pulled noodles I have ever eaten in my life. Hand-pulled noodles done right is such a rare find. The spicy cumin lamb noodles (dry)...
chinese,"This location is not as convenient for me but it's open! The staff here is friendly and efficient. The dining area is closed off, arrows on the floor for..."
chinese,"We had a big family gathering, and needed a spot to eat dinner. We originally wanted to do take out and eat it at the park or at home, but we saw that they..."
chinese,"It has been a long time wait, but iam glad we were able to stop by and order $80 worth if food.   They all had mask on and was quick in having the food..."
chinese,This place will always be my absolute favorite place to get chow fun. It's a true NY staple and I have been eating here my whole life. It's nice that they...
chinese,"It's Chinese New Year and a group of us are in NYC for the weekend, unfortunately not to sightsee or enjoy the city, but to work the entire weekend for a..."
chinese,"I placed an order during the pandemic, and the pickup was quick and seamless. I also loved the quality of the bag that it came with (emblazoned with the..."
chinese,"The dishes here are btw $5.50-5.95. Def more than typical dim sum dishes. I ordered the Sticky rice with lotus leaf, bean curd roll, chicken feet, har gow,..."
chinese,This is probably one of my favorite noodle spots I've had in a while. This spot seems to be more of a takeout / hidden gem type of spot since although they...
chinese,"got takeout from here, and the quality was amazing! rice noodles were great and something i usually never get, but combined with the pork and tofu, it was..."
chinese,"***Pre-COVID*** When this place opened, I was pretty excited to try out the ~new~ Chinese place down the block, and it did not disappoint! Fair prices for..."
chinese,Happy this restaurant is open during COVID. My Singaporean roommates has been telling me about this place. Went with my mum and sis. There are three seats...
chinese,"*COVID-19 outdoor seating experience*

Came here around 6PM on a Saturday night and didn't have to wait for a seat. All the dishes came out within 15..."
chinese,"Outdoor seating on most of Mott Street, it's the only way Chinatown will survive. Beautiful night out given it was not 90+ degrees on this August evening...."
chinese,"This was my go-to ""comfort food"" spot for both dine-in and delivery when I was living on the UES. After a long day of studying, I would either pop by for a..."
chinese,"Was craving some noodle soup and this place popped up in my searches. 

Now this place is pretty interesting, the marbled pork noodle soup had large chunks..."
chinese,"These guys are legit. Like kung-fu fighting, Shaolin monk legit.

This is not a Japanese ramen shop. They do offer some bowls of JP-style ramen, but if you..."
chinese,Had a great time! They have indoor dining (no outdoor) and they check your temperature at the door as well as get you to sign an information form. Hand...
chinese,"****Pre-COVID****

Always love coming here on a normal day, but especially on a birthday week! Pro tip: come with 3 friends and your meal's on the house...."
chinese,I LOVE HOT POT and they have so much variety. The broth is amazing - I always get the Spicy but the regular broth hits just the same. I miss it now since...
chinese,I came here about a month ago with my sister because we were having our usual malaxiangguo cravings. We've only tried the malaxiangguo in Flushing before so...
chinese,"THIS PLACE IS THE BOMB!!!!! Came here with family on a super freezing cold day (it was so cold I was actually angry) in January while we were visiting, and..."
chinese,"Wow. Such a great restaurant! We got take out from here and it was amazing. The food was still hot when it was delivered, which is always a plus. This was..."
chinese,"Although my initial quick lunch today (rice dishes) was questionable, what I experienced from them next (roasted meat) was ""mwah"" excellent! 

We came to..."
chinese,Been coming here for years. Never left unhappy with their food or serving size. Still visiting during the pandemic to take out.   Hope they survive all this...
chinese,"The cherry on top of boozy nights out on the Lower East Side. Haven't been since the pandemic began, but the food is delightfully greasy and flavorful."
chinese,"Amazing as usual, even during a pandemic. Obviously get the big tray of chicken and don't forget to add noodles.

While there's a tiny table up front, Spicy..."
chinese,Spicy Village is one of my favorite cheap eats in Chinatown and maybe NYC. My most recent visit was during COVID so it was takeout only. The business...
chinese,"Ordered the grilled pepper chicken and tomato and egg noodles from the great recommendation of the Fung Bros!

Picked it up and didn't eat it until at least..."
chinese,"Closed down temporarily. Heard they may not open back up 

By far the best dim sum spot in Brooklyn and Manhattan! 

The food was good quality and the..."
chinese,"This was the last place I ate before the pandemic and I cannot wait until they reopen. Best dim sum in NYC, no contest. Miss you guys!"
chinese,"I miss this place so much! 
I hope they re-open as I will be the first in line. This is the best dim sum place in ALL of Brooklyn. If you want the  real dim..."
chinese,"After Shujiao's closure during Covid I wanted to find Fuzhounese styled dumplings that were on par with their dumplings, cheap and delicious. Super taste's..."
chinese,"Adapted for the COVID climate, Super Taste lives up to its name.  A variety of spicy and savory dishes that made my mouth water.  The price can't be beat,..."
chinese,"(COVID-19 Phase 1 NYC reopening)

Open for takeout. Dry beef noodles are curry sauce. Prices have gone up to the $8 range."
chinese,"Spice Symphony is such a unique combination of flavors, I'm sad I didn't go for the Chinese Indian menu but I am SO glad I stopped in with my friend. It's..."
chinese,I used to come here during work lunch and the meals were not only great but very reasonably priced. You can get a three course individual meal for 10-13...
chinese,"As a Bombay girl, finding niche Indian food to please me is really hard. I've usually frequented Murray ""curry"" Hill joints but went to Spice Symphony for..."
chinese,Wonderful restaurant! Really enjoyed our visit there. Nisaar's (our waiter for the evening) service was beyond excellent. He made us feel extremely welcome...
chinese,"The place is wonderful! Talked to the owner when picking up my food during Covid19, super laid back and welcoming, we got chicken korma and the garlic naan..."
chinese,"We had an excellent dinner at Spice Symphony, sitting in their curbside outdoor space, tables six feet apart. It was very comfortable, like a cozy pavilion...."
chinese,"Chow House has limited service at this time. They are open 3 to 9 pm for takeout and outdoor seating. They used to be open for lunch and dinner, with a..."
chinese,Chow House is my by far my favorite Chinese food in the city!! I always order the broccoli with garlic sauce and the scallion pancakes. I usually order...
chinese,"Every time I feel like not going out I get something from this place, food is fantastic! and the delivery service does not take long to get to your door, it..."
chinese,"We came here couple times and this is definitely one of the best Chinese restaurant in west village. It's real Chinese food, not American Chinese food. 
The..."
chinese,"This is actual Chinese food! It's a little bougie, a little pricey, but the quality is definitely worth the money. I came here for lunch and they have a few..."
chinese,"Food was pretty good. We had the braised pork belly, spicy shrimp wontons, and the chickpea noodles. My favourite was the chickpea noodles. My boyfriend..."
chinese,"Such good noodles! Fresh and chewy. Delicious broth and sauces. We come here 1-2x per week! Amazing, friendly service."
chinese,"Was really looking forward to this place.

My bf liked it a lot, but I did not. We ordered the big chicken plate, lamb skewers, signature Lanzhou beef..."
chinese,This was my second time dining at Dun Huang's location in the East Village and I was just as satisfied with this experience as I was with my first. Even...
chinese,The duck is really tasty and the snacks as well. I would recommend the sets without rice. Since that would be a bit too much.
chinese,"I had dinner here on New Years Eve. The restaurant, located downstairs, was very small with few bar seats and a long communal table. Music and lighting was..."
chinese,"Heard they have awesome Peking duck!
Make sure you book in advance. They only offer certain amount of pecking duck each day. 

It was $79.95 per person.
For..."
chinese,"I ordered a chicken lo mein and shredded pork with bitter melon over rice. First, I have to say the food improved greatly from when I last ate here...."
chinese,"I decided to come to Congee Village as part of the Send a Chinatown Love food crawl (9/1-9/30).

Because of COVID, the restaurant is currently doing outdoor..."
chinese,"I've loved Congee. I use to frequent their old location, up until they closed. It's the perfect place for a large group. My friends and I love it. During..."
chinese,"I really loved this place before COVID: the carts were always fully stocked, there was a great amount of variety.  Their sticky rice was particularly better..."
chinese,"Good dim sum but very limited veggie options. Not on menu-- veggie dumplings, veggie soy sauce noodles. Have to ask the waiter! Most other dumplings have..."
chinese,"Takeout and outdoor dining during our strange covid time.

If you're going, wait until they're in full swing. If you order when they're first open, the food..."
chinese,"Traveling to NYC with a friend at the tail end of the quarantine, my favorite go-to Chinese restaurant has not yet reopened. 
Turning to Yelp, I selected Da..."
chinese,The fish fillet was really good and spicy. Lots of mala spice. Tendons were also thinly spiced and very spicy. I added some lettuce to it to make it more...
chinese,"Ordered scallion pancakes on a whim through Grubhub - everything went smoothly, and the front staff were super nice and prompt! Their scallion pancakes were..."
chinese,"Pleasant neighborhood Chinese noodles, potstickers, xiaolongbao in Chelsea. XLB tastes handmade and juicy. Will come back for other take out or outdoor"
chinese,"The best Chinese food in NYC. Love their Chicken Dumpling soup, great variety of dumpling and pork buns . I used to have their soup at least three days per..."
chinese,Prob's our office's favorite takeout place to order from. It's exactly what you want. Lots of warm and fresh steamed dumplings. Delivered to you very...
chinese,"The noodles were were excellent. It wasn't overly boiled - al dente, even, if you will. I came here for a tinder date and we weren't disappointed. the sauce..."
chinese,"Pre-COVID I would walk by here everyday on my way to and from work, but never made it in for dinner. Came here when I was in the neighborhood for the..."
chinese,"this is a class above a lot of places in this category, got delivery it was really incredible. we ordered a second time through yelp soon after and they..."
chinese,Easily in my top 5 faves of NYC as a vegetarian. I've come here a bajillion times with vegetarians/vegans and meat-eaters alike and NOBODY has left...
chinese,"I'm obsessed with the vegan appetizer platter from Bodhi. It includes char siu ""meat"", some other ""meat"" dishes and jelly fish, all made from soy protein or..."
chinese,When my wife and I went vegan almost 5 years ago I thought dim sum was something I would have to consign to the fond memories of the past. But When we went...
chinese,"PRO TIP - CASH ONLY!!

You literally cannot get better Hainese Chicken in NYC other than this place! It's the only thing they sell and there's a reason why..."
chinese,"Hands down the best Hainanese chicken over rice I've had. 

I've had this place bookmarked for a while now and I finally had the chance to try it out. I..."
chinese,"Hands down, BEST Hainanese chicken / Khao mun kai eatery in the States. 

You know it's gonna be good when a restaurant serves just one dish. The guy who..."
chinese,So glad they finally reopened! We almost ordered the entire menu. Was worried the noodles wouldn't travel well with takeout but the consistency was still...
chinese,"This is for xi'an home kit through goldbelly. We are in a pandemic, I can't travel to nyc so I thought I'd ordered a piece of nyc to Texas. The home kit..."
chinese,"Delicious even as take-out. Glad it's back for take-out. I thought it would be soggy, but noodles were good. I got this in mild and it had just the right..."
chinese,"A great spot to have a small dinner or drinks. They have a large amount of seats outdoors so finding a place to sit won't be a problem. 

Drinks - got the..."
chinese,"Who does it better than Macao?! The food here is top notch (some of the best in the city, in my opinion), the drinks are spectacular, the staff is kind and..."
chinese,Oh my God I had so much fun when they were open before the pandemic hit! Dumplings and the burger are my to go-to. Music and drinks. Food. Crowd. I hope...
chinese,"No expenses were spared to create as close of an ""indoor SMH experience"" as possible outside; they even play music and have incense to mask the unpleasant..."
chinese,I was always told by my friends that this was the place to go and have never visited until today. We went to this restaurant on a Saturday and to my...
chinese,"Kudos for Szechuan Mountain House for individually packing EVERYTHING during these COVID times!  When we were seated we had a bag with chopsticks, a spoon,..."
chinese,I've done plenty of take out from here both pre-covid and after. Food gets prepared quick and the noodles are separated from the broth so it doesn't get...
chinese,"This is my go to place for XLB (xiao long bao or steamed buns) and dumplings. It sits in the heart of hells kitchen, where the food scene is happening, but..."
chinese,"The best soup dumplings I've ever had (and I've had several). I honestly prefer this to Din Tai Fung--it just has a more complex flavor in my opinion.

I've..."
chinese,"I came here with some friends before this pandemic and I crave these stone bowls with the crispy rice at the bottom so often. Since my visit here, I went..."
chinese,"Ate here during Halloween night! Food was good and it's sizzling hot. The personnels were kind, they made sure that we were satisfied with what were having...."
chinese,Clay Pot was one of my most enjoyable meals in NYC recently. This place is tiny. Their menu is tiny. Their clay pot menu was very simple and straight to the...
chinese,"I've been here several times to celebrate birthdays.  While I'm not really a fan of hot pot, my friends are.  I like the fact that there is a variety of..."
chinese,"Went here for my birthday,great experience. Recently visited during COVID-19. Great hot pot selection especially for the price. As for the Korean bbq, not..."
chinese,Came here for all you can eat hotpot. Had outdoor seating for covid. This place gets busy quick so make reservations. We came during the few days in...
chinese,"It didn't say it is open for outdoor dining on Yelp
So I went there alone to take out the food.

But it is open for outdoor dining & 
My take out food was..."
chinese,"I was passing by a couple of days ago looking for open grocery stores in Chinatown.

Then I saw that Hop Kee was open. (it had been closed for weeks and..."
chinese,So happy to see Hop Kee is opened for sidewalk dining and take out - we must suooort this Chinatown classic
chinese,Came here again for takeout and I would definitely recommend D8 Sweet and Spicy pork dumplings. It is definitely spicy but has a lot of flavor and I would...
chinese,This was my first time here and it was really good! The food was fresh and hot and they sealed it with staples which was great. The portion is huge and very...
chinese,"I think I'm so disappointed mostly not because of the bad food, but because I had come here a couple years ago and it was such an amazing experience then...."
chinese,"It's open again after being closed for COVID!!!  There isn't any outdoor seating, but the wonton soup is still as delicious as ever.  I've missed this place..."
chinese,I absolutely love the spot. I've been going there for years and the service is always amazing. I haven't really seen it open since Covid started but when it...
chinese,"Great inexpensive staple Chinese restaurant. Wonton noodles with beef tendon is the most popular hence the name. Unfortunately, closed now due to covid19..."
chinese,"I'm originally from Shanghai, and this place reminds me of all the great dishes my parents and grandparents used to serve.  There are the usual dishes aimed..."
chinese,"Dumplings with Peanut sauce + Chili oil + Brown Sugar = driving from Queens to Brooklyn once a week, for these. 

Nothing in the world like them...."
chinese,"I've been to Liu's Shanghai before but, shame on me, I forgot how GOOD this place is. Actually, it's beyond good. It's some of the best Shanghainese I've..."
chinese,"Really not sure why Bo Ky only has 3.5 stars -- time to bump it up to 5!

So happy this place has reopened since COVID hit. We can't afford to lose this..."
chinese,"No frills Chinatown staple is back for indoor dining and takeout. Cash only!

The country duck is a must get! Also love the pickled radishes that it comes..."
chinese,"This place serves the BEST noodles hands down, compared to ANY NOODLE place in ANY town!!! My family lives in southern Cali, and we go there quite often...."
chinese,"I've dined at Meet Noodles quite a few times and the food, service and affordable prices is always exemplary. I did not think it could get any better until..."
chinese,"As someone who's always down for noodles, I dined in here a few back in February on a Saturday night. No wait time.  They serve complimentary edamame,..."
chinese,"Wow! Super impressed by Meet Noodles! My friend and I were swiping through Yelp and decided to come here for a New Years lunch around 2 PM.

When we arrived..."
chinese,They have seating outside (right outside and into the street in the shade). We waited outside the door for a few seconds and someone came and sat us on the...
chinese,"Sushumai Asian Fusion offers a diverse menu with sushi, dumplings, pork buns, fried rice, and noodles. They have some outdoor seating, but currently they..."
chinese,"Stopped by for some no frills sushi. We Ordered the sashimi plate and a roll and a pork katsu bento box. Typical Chinese bento box nothing special, but the..."
chinese,"I did takeout from here during COVID, and it was a great experience. I walked in, and you place an order through the Seamless app. I got the ""dry"" beef..."
chinese,They're taking great precautions in light of the coronavirus. Their food was amazing. Great dumplings and great noodles! Get the dumplings
chinese,"Been here for several times but never got the time to review it.

The spicy pork liver rice noodle is the sxxt. It's so hard to find foods like liver,..."
chinese,"Very decent Shanghainese restaurant. Came here on a Saturday for lunch, wait time was a bit long, because they only had 5 tables. The service was general..."
chinese,I came here for lunch on a Tuesday afternoon with a friend.  We came during COVID-19 times so we were seated outside.  The tables were spaced out and it...
chinese,"Awesome soup dumplings, among the best in NYC.

The rest of the review is for takeout which withstood a 10-minute walk and a 5-minute unpacking session,..."
chinese,"I was in the area, so I just SWANG BY
They said hi, we like your music, in return I SANG HI
They said yo Fox E wuttup and I said um, nice SLANG TRY
Gave me..."
chinese,This is my to go places in Chinatown. The place is a bit small but I always manage to get a table when I come in. The prices are very cheap and the meal is...
chinese,"This is my go-to place for soup dumplings in the city. It never has a long wait, the service is fast, prices are really affordable and the menu has SO MANY..."
chinese,"Old school shop here, no pretense and no frills. Menu is simple, classic, and yet gives an array of choices across the board for smaller meals to full..."
chinese,"Love this spot!!!

Came here with 3 other friends for their outdoor dining. Instead of having a waitress come to you, you just have to order at the counter..."
chinese,What more can I say about a delicious cash only spot in Chinatown other than it's a must eat! Absolutely outstanding Taiwanese food with really fast...
chinese,I can't believe I stumbled upon this place accidentally. I was looking for parking to pick up food at Kopitiam and happened to park in front of this store....
chinese,"Definitely some good, good jerky to be had at this place. I went for the basic beef jerky this time around.

A couple of key things to point out if you're a..."
chinese,"I grew up eating packaged jerky, never had them fresh. So, I was really interested when I found out that this place serves them fresh!

You can buy as many..."
chinese,"Came here last night. There were a couple of parties already there. The place is smaller than the one in Flushing.

I chose to come here after finding out..."
chinese,"Came here on Saturday night around 6:30pm
No wait needed. And the restaurant not busy at this moment.
I still need to wait for my friends but they let me..."
chinese,"The Good:

The hostess here was very nice and friendly. She helped us put our name on the list since there was a wait for a private hotpot. She called us..."
chinese,Review for takeout - we tried Joe's Shanghai the other night but weren't blown away by their soup dumplings or their food. My brother recommended this place...
chinese,"Such Good MapoTofu, Veg Rice Cakes & anything we've tried. The service ( before pandemic) was so great.  Brought my 75 year old mom to lunch there. She is..."
chinese,"This was our second time here, both during COVID with outdoor dining. Our favorite is the fried pork dumplings, that crisp is heavenly. Had the soup..."
chinese,This dumpling place has served Elmhurst for as long as I can remember. They used to have a smaller store that was down the block but has since sold it. The...
chinese,I actually haven't eaten here but I've bought their frozen dumplings multiple times. $15 for 50 pork & leek dumplings.. can't get any better than that! The...
chinese,"6/10

I am a frequent eater here. If your going here what more is there to say. A cheap(sorta cheap) place in elmhurst to eat hand pulled noodles and..."
chinese,"From the minute I stepped on the curb , the concierge greeted me with a warm welcome ! Then I went to check in and the staff were accommodating and thankful..."
chinese,"Brooklyn Chop House ! Where everything is good! No but really the food, atmosphere and the service was impeccable. We had a 4pm reservation and was promptly..."
chinese,"I've been here a number of times in groups, on 1:1s - hell, I came in here once for an old fashioned because I was meeting a friend, needed to kill time and..."
chinese,"This review is for their lunch menu for take out. 

I work right around Red Peony Chinese Cuisine and was craving some Chinese food so decided to give it a..."
chinese,"Some restaurants have watered down menus and weakened quality of their food in this era of outdoor dining, but Peony not only kept their full menu along..."
chinese,Excellent dumplings. Excellent service. Nice outdoor dining space created during Covid times.
chinese,Solid Chinese place during quarantine but would also order from here when everything opens back up. Four stars plus a bonus for being open during quarantine...
chinese,"Ordered this for delivery and came in 40 minutes on the dot! This meal was exactly what I needed during covid. 

Dumplings: don't underestimate its..."
chinese,"We ordered the mala dry pot, and it was absolutely amazing. While the pictures showed lotus roots and none came out in the dish, which I was hoping for..."
chinese,"These ladies rock and if you like thicker shelled dumplings you will not be disappointed. The price, product, and service all make this a gem worth supporting."
chinese,I understand that when a place gets popular the prices get a little higher but quality should not be diminished. Being my first time here I cannot compare...
chinese,"Their dumplings are quite different and come with a thicker, chewier exterior.

Pork and chive option was good. The veggie was a pleasant surprise!"
chinese,Walk in and picked the takeout menu to see what we can ordered for my Friday office party. We found out they are already open for indoor table both redfarm...
chinese,"Reviews are mixed probably partly because this is not exactly a takeout Chinese restaurant. When you feel comfortable going out again post-COVID, give..."
chinese,"Although I did not eat here physically, Indid order for delivery.  I am so glad!

What a change for me to have something I have not been making or following..."
chinese,This location is located in the Canal Street Market (along with other vendors such as Boba guys and Domi). They are following COVID social distancing...
chinese,I wish I could have Joe's every day! Stopped by here to pick up a quick lunch on my way home. Tried the signature rice roll with pork and beef. We were...
chinese,"Love Joe's Steam Rice Roll! Due to covid, indoor dinning inside Canal St Market is prohibited but you can order takeaway. You must also wear a mask at all..."
chinese,"Still my favorite Chinatown place for dim sum. 

Post covid, there's ample outdoor seating and you dine on disposable plates, using disposable chopsticks..."
chinese,"I came here for dim sum with a group of 4 people during COVID-19 times.  The hours were different, the place opened at 10:30am instead of 9am.  They..."
chinese,Curious about how Chinatown restaurants are dealing with COVID19. Glad to see Ping's is able to set up outdoor seats with plastic dividers.
chinese,"This was one of the more memorable meals I've had in quite a while!

We shared the following:
Soup dumplings - solid. Can't really go wrong with..."
chinese,One of the best upscale Chinese restaurants in Manhattan. My favorite dishes I tried were the Peking duck and the crab tofu. The duck was tender and juicy....
chinese,"Nice experience at Uluh, nice ambiance and attentive service.

For food-

*Mouthwatering Chicken - it white meat mostly so I find the chicken on the drier..."
chinese,this was such a nostalgic meal for me!!!! It's been almost 3 years since I've last been to Taiwan and Ho foods really made my swoon!! Came during COVID era...
chinese,Had dinner here on a Sunday night at 6pm during COVID. Restaurant had about four to five 2 tops placed outside their storefront. Friend and I ordered two...
chinese,"I've been here plenty pre-COVID, but will say it's been just as great of an experience during COVID as well and the food is just as yummy as it's always..."
